# Offizielle Testkontonummern aus der Bundesbank-Spezifikation
# Quelle: pruefzifferberechnungsmethoden-data.pdf, abgerufen 2026-09-02
# Spalten: methode<TAB>erwartung(valid|invalid)<TAB>kontonummer
00	valid	9290701
00	valid	539290858
00	valid	1501824
00	valid	1501832
06	valid	94012341
06	valid	5073321010
10	valid	12345008
10	valid	87654008
28	valid	19999000
28	valid	9130000201
32	valid	9141405
32	valid	1709107983
32	valid	0122116979
32	valid	0121114867
32	valid	9030101192
32	valid	9245500460
34	valid	9913000700
34	valid	9914001000
88	valid	2525259
88	valid	1000500
88	valid	90013000
88	valid	92525253
88	valid	99913003
99	valid	0068007003
99	valid	0847321750
17	valid	0446786040
C1	valid	0446786040
C1	valid	0478046940
C1	valid	0701625830
C1	valid	0701625840
C1	valid	0882095630
C1	invalid	0446786240
C1	invalid	0478046340
C1	invalid	0701625730
C1	invalid	0701625440
C1	invalid	0882095130
C1	valid	5432112349
C1	valid	5543223456
C1	valid	5654334563
C1	valid	5765445670
C1	valid	5876556788
C1	invalid	5432112341
C1	invalid	5543223458
C1	invalid	5654334565
C1	invalid	5765445672
C1	invalid	5876556780
